2026-06-30 14:16:07 | Buyer: Alice | Qty: 2 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer5 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer6 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer1 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer4 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer9 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer10 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer13 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer15 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer11 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer19 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer2 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer7 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer8 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer14 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer16 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer3 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer22 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer12 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer24 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer23 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer26 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer21 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer17 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer18 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer25 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer31 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer29 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer30 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer27 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer28 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer20 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer34 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer35 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer44 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer33 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer39 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer42 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer37 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer36 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer41 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer45 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer38 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer46 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer50 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer40 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer43 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer32 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer47 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer49 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:18 | Buyer: Buyer48 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer4 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer2 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer3 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer5 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer1 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer7 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer9 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer12 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer11 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer14 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer13 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer6 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer10 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer16 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer22 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer18 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer15 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer21 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer17 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer25 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer20 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer26 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer8 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer28 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer30 | Qty: 1 | Student ID: p20240032
2026-06-30 14:17:19 | Buyer: Buyer19 | Qty: 1 | Student ID: p20240032
